Model,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,Train_R2,Test_R2
Decision Tree,2.9512442675471937,4.231861333384228,4.9030292610917,7.030649235897199,0.5950236028167705,0.03874823767939726
Random Forest,2.480362719365054,3.754937719587263,4.02622234963644,6.035320829492411,0.7315078939154231,0.27759343558299077
Gradient Boosting,1.6185495359899746,3.8461442597494955,2.487327166245036,6.159577427946884,0.875566682977165,0.23707387268908864
SVR,2.9743343786734475,3.800462742004504,5.677153146094347,6.327248434979078,0.5224290299200419,0.19374585987827267
Neural Network,3.720547570570332,4.28592582851866,5.889250095063845,6.733163493495719,0.4597645272498045,0.1514768023562643
